iter	RMSE
0	11.4561389
1	10.89879247
2	10.36635386
3	9.869500889
4	9.391500524
5	8.931767964
6	8.502450254
7	8.095751848
8	7.704461197
9	7.334909877
10	6.98329613
11	6.64333241
12	6.32398556
13	6.018684033
14	5.725036109
15	5.453208423
16	5.193235097
17	4.94377543
18	4.704070384
19	4.477941773
20	4.264622578
21	4.062929517
22	3.865352486
23	3.679109553
24	3.50010678
25	3.333835876
26	3.174586471
27	3.020026375
28	2.874970157
29	2.736906491
30	2.607483719
31	2.482647616
32	2.366372558
33	2.253631577
34	2.146271769
35	2.045964915
36	1.950120527
37	1.858479877
38	1.771118857
39	1.690503848
40	1.612857777
41	1.538520983
42	1.469073366
43	1.40358383
44	1.338264914
45	1.278743946
46	1.221721183
47	1.167748476
48	1.116313926
49	1.067784501
50	1.021681415
51	0.9783116263
52	0.9359065529
53	0.8965417728
54	0.8587749723
55	0.8239638383
56	0.7909641883
57	0.7597343319
58	0.7309088169
59	0.7034961806
60	0.6775791365
61	0.6535612428
62	0.6292353523
63	0.6065345703
64	0.5853320434
65	0.5664057798
66	0.548904321
67	0.5323262623
68	0.5157397901
69	0.5005136759
70	0.4869966342
71	0.4739780082
72	0.4603509619
73	0.4481923861
74	0.4365393622
75	0.4261816634
76	0.4158671406
77	0.4076218819
78	0.3981658796
79	0.3893835019
80	0.3812083551
81	0.3743716292
82	0.3677702745
83	0.3611654691
84	0.3545045009
85	0.3487368567
86	0.3428306809
87	0.3368057061
88	0.3319766757
89	0.3281904397
90	0.3245133149
91	0.3200554392
92	0.3163127858
93	0.312169538
94	0.3085571552
95	0.3054504452
96	0.302740966
97	0.3000875632
98	0.2973842264
99	0.2952291925
100	0.2929204622
101	0.2901315573
102	0.2880839387
103	0.2862646651
104	0.2844418175
105	0.2820693602
106	0.2799528986
107	0.2779425447
108	0.2765159238
109	0.2743604255
110	0.272415765
111	0.2701884397
112	0.2684879229
113	0.26705613
114	0.2654319612
115	0.2643272668
116	0.2629871848
117	0.2615459529
118	0.2603924481
119	0.2590761433
120	0.2580955411
121	0.256874838
122	0.2557172237
123	0.2545118605
124	0.2534650062
125	0.2523306995
126	0.2506682569
127	0.2493054174
128	0.2483539129
129	0.2472741619
130	0.2466832108
131	0.2459869749
132	0.2453487549
133	0.2444749023
134	0.24340533
135	0.2426974901
136	0.2415752914
137	0.2407977728
138	0.2401377221
139	0.2392866339
140	0.2384475996
141	0.2376789084
142	0.2367300876
143	0.236004012
144	0.2351242796
145	0.2343004376
146	0.2335665029
147	0.2329721022
148	0.2323283687
149	0.2314589842
150	0.2305663533
151	0.2298707463
152	0.229279677
153	0.229008148
154	0.2283705756
155	0.2274675503
156	0.2269025926
157	0.2260834333
158	0.2253750708
159	0.2247948159
160	0.2241014563
161	0.2234267064
162	0.2228591117
163	0.2220407636
164	0.2214657795
165	0.2208133551
166	0.2202406785
167	0.2195912222
168	0.2189558609
169	0.2185623975
170	0.2178484135
171	0.2172397766
172	0.216789027
173	0.2161195936
174	0.2156997061
175	0.2150801759
176	0.2147254155
177	0.2140552285
178	0.2134366736
179	0.212864349
180	0.2122259249
181	0.2117611479
182	0.2113196026
183	0.210800309
184	0.2103377499
185	0.2094436612
186	0.2090581507
187	0.2083730029
188	0.2080735815
189	0.2075618743
190	0.2070549268
191	0.2065271485
192	0.2058605417
193	0.2053592208
194	0.2049851588
195	0.2047066559
196	0.2043182358
197	0.2039088073
198	0.2035966365
199	0.2029816346
200	0.2026233662
201	0.2019488768
202	0.2014468818
203	0.2012742046
204	0.2007152547
205	0.2003584291
206	0.2000142718
207	0.1996708607
208	0.1994594894
209	0.1992566377
210	0.1988296668
211	0.1984114688
212	0.1979957136
213	0.1976881117
214	0.1971919145
215	0.1968075018
216	0.1966105041
217	0.1962008209
218	0.1959270933
219	0.1957269024
220	0.1953211565
221	0.1951032029
222	0.1948593338
223	0.1946098185
224	0.1943383335
225	0.1940378172
226	0.1937915593
227	0.193518922
228	0.193262733
229	0.1927722319
230	0.192544416
231	0.192182348
232	0.1919040363
233	0.1916232312
234	0.1915255788
235	0.1912720963
236	0.1910627865
237	0.1907782812
238	0.1905350415
239	0.1903163057
240	0.1900349126
241	0.1899177111
242	0.1897249483
243	0.1895346985
244	0.1890348951
245	0.1888744787
246	0.1887439115
247	0.1884459407
248	0.1882144311
249	0.1879869996
250	0.1877929241
251	0.1875960722
252	0.1873956729
253	0.1872156951
254	0.1869404362
255	0.1867858214
256	0.1865492152
257	0.1864549623
258	0.1863849604
259	0.1861850976
260	0.1860458892
261	0.1856607404
262	0.1855107273
263	0.1854071698
264	0.1852311622
265	0.1851167748
266	0.1849452087
267	0.1847437416
268	0.1846660295
